status,match_key,landsd_en,landsd_zh,landsd_district,landsd_date,landsd_gn,our_first_en,our_first_zh,our_first_date,our_first_gn,our_first_event_id,our_first_change_kind,our_latest_date,our_latest_gn,our_latest_event_id,our_latest_change_kind,date_eq_first,gn_eq_first,date_eq_latest,gn_eq_latest,notes
agree_latest,en_zh:Ma Ling Path|馬鈴徑,MA LING PATH,馬鈴徑,ST,1981-03-27,GN958,Ma Ling Path,馬鈴徑,1981-03-27,GN958,crowd|1981-gn958-kau-to-shan-Ma-Ling-Path-馬鈴徑-1981-03-27,declare,1981-03-27,GN958,crowd|1981-gn958-kau-to-shan-Ma-Ling-Path-馬鈴徑-1981-03-27,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Ma Lok Path|馬樂徑,MA LOK PATH,馬樂徑,ST,1981-03-27,GN958,Ma Lok Path,馬樂徑,1981-03-27,GN958,crowd|1981-gn958-kau-to-shan-Ma-Lok-Path-馬樂徑-1981-03-27,declare,1981-03-27,GN958,crowd|1981-gn958-kau-to-shan-Ma-Lok-Path-馬樂徑-1981-03-27,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Ma Miu Road|媽廟路,MA MIU ROAD,媽廟路,YL,1977-12-02,GN2944,Ma Miu Road,媽廟路,1977-12-02,GN2944,crowd|1977-gn2944-yuen-long-streets-Ma-Miu-Road-媽廟路-1977-12-02,declare,1977-12-02,GN2944,crowd|1977-gn2944-yuen-long-streets-Ma-Miu-Road-媽廟路-1977-12-02,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Ma On Path|馬鞍徑,MA ON PATH,馬鞍徑,ST,1981-03-27,GN958,Ma On Path,馬鞍徑,1981-03-27,GN958,crowd|1981-gn958-kau-to-shan-Ma-On-Path-馬鞍徑-1981-03-27,declare,1981-03-27,GN958,crowd|1981-gn958-kau-to-shan-Ma-On-Path-馬鞍徑-1981-03-27,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Ma Shing Path|馬成徑,MA SHING PATH,馬成徑,TP,2010-06-18,GN3608,Ma Shing Path,馬成徑,2010-06-18,GN3608,2010-06-18|GN3608|0,declare,2010-06-18,GN3608,2010-06-18|GN3608|0,declare,true,true,true,true,first_equals_latest
agree_latest,en:MA TAU CHUNG ROAD,MA TAU CHUNG ROAD,馬頭涌道,KC,1926-04-16,GN202,Ma Tau Chung Road,碼頭涌道,1926-04-16,GN202,crowd|1926-gn202-to-kwa-wan-road-11349-1926-04-16,declare,1926-04-16,GN202,crowd|1926-gn202-to-kwa-wan-road-11349-1926-04-16,declare,true,true,true,true,first_equals_latest
agree_latest,en:MA TAU KOK ROAD,MA TAU KOK ROAD,馬頭角道,KC,1926-04-16,GN202,Ma Tau Kok Road,碼頭角道,1926-04-16,GN202,crowd|1926-gn202-to-kwa-wan-road-11350-1926-04-16,declare,1926-04-16,GN202,crowd|1926-gn202-to-kwa-wan-road-11350-1926-04-16,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Ma Wang Road|媽橫路,MA WANG ROAD,媽橫路,YL,1984-08-31,GN2608,Ma Wang Road,媽橫路,1978-09-29,GN2481,crowd|1978-gn2481-yuen-long-streets-Ma-Wang-Road-媽橫路-1978-09-29,declare,1984-08-31,GN2608,crowd|1984-gn2608-ma-wang-Ma-Wang-Road-媽橫路-1984-08-31,extend,false,false,true,true,our_event_count=3
agree_latest,en_zh:Ma Yeung Path|馬鞅徑,MA YEUNG PATH,馬鞅徑,ST,1981-03-27,GN958,Ma Yeung Path,馬鞅徑,1981-03-27,GN958,crowd|1981-gn958-kau-to-shan-Ma-Yeung-Path-馬鞅徑-1981-03-27,declare,1981-03-27,GN958,crowd|1981-gn958-kau-to-shan-Ma-Yeung-Path-馬鞅徑-1981-03-27,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Ma Ying Path|馬影徑,MA YING PATH,馬影徑,ST,1981-03-27,GN958,Ma Ying Path,馬影徑,1981-03-27,GN958,crowd|1981-gn958-kau-to-shan-Ma-Ying-Path-馬影徑-1981-03-27,declare,1981-03-27,GN958,crowd|1981-gn958-kau-to-shan-Ma-Ying-Path-馬影徑-1981-03-27,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Macdonnell Road|麥當勞道,MACDONNELL ROAD,麥當勞道,C&W,1958-06-27,GN865,MacDonnell Road,麥當勞道,1958-06-27,GN865,crowd|1958-gn865-major-streets-Macdonnell-Road-麥當勞道-1958-06-27,declare,1958-06-27,GN865,crowd|1958-gn865-major-streets-Macdonnell-Road-麥當勞道-1958-06-27,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Magazine Gap Road|馬己仙峽道,MAGAZINE GAP ROAD,馬己仙峽道,C&W-WC,1958-01-03,GN16,Magazine Gap Road,馬己仙峽道,1958-01-03,GN16,crowd|1958-gn16-mid-levels-roads-Magazine-Gap-Road-馬己仙峽道-1958-01-03,declare,1958-01-03,GN16,crowd|1958-gn16-mid-levels-roads-Magazine-Gap-Road-馬己仙峽道-1958-01-03,declare,true,true,true,true,first_equals_latest; our_event_count=3
agree_latest,en_zh:Magic Road|神奇道,MAGIC ROAD,神奇道,Is-TW,2004-12-17,GN8104,Magic Road,神奇道,2004-12-17,GN8104,crowd|2004-gn8104-14201,declare,2004-12-17,GN8104,crowd|2004-gn8104-14201,declare,true,true,true,true,first_equals_latest
