event_id,source,publication_date,change_kind,street_name_en,street_name_zh,district_raw_en,notice_no
2017-10-13|GN7595|9,landsd,2017-10-13,declare,Yu Wing Path,裕榮徑,Yuen Long,GN7595
2017-11-10|GN8364|0,landsd,2017-11-10,declare,Long Ngai Path,朗藝徑,Yuen Long,GN8364
2017-11-10|GN8364|1,landsd,2017-11-10,declare,Sai Yu Path,西裕徑,Yuen Long,GN8364
2017-11-10|GN8364|2,landsd,2017-11-10,declare,Ping Ha Path,屏廈徑,Yuen Long,GN8364
2017-11-10|GN8364|3,landsd,2017-11-10,declare,Tin Shui Path,天瑞徑,Yuen Long,GN8364
2017-11-10|GN8364|4,landsd,2017-11-10,declare,Tin Ying Path,天影徑,Yuen Long,GN8364
2017-12-22|GN9865|0,landsd,2017-12-22,declare,Lai Ying Street,荔盈街,Sham Shui Po,GN9865
2017-12-22|GN9866|0,landsd,2017-12-22,declare,Ko Po Path,高埔徑,Yuen Long,GN9866
2018-02-02|GN650|0,landsd,2018-02-02,declare,Choi Shing Lane,彩盛里,Kwun Tong,GN650
2018-02-02|GN651|0,landsd,2018-02-02,declare,Po Min Path,坡面徑,Tai Po,GN651
2018-03-02|GN1472|0,landsd,2018-03-02,declare,Pak Sha Wan Street,白沙灣街,Sai Kung,GN1472
2018-03-29|GN2325|0,landsd,2018-03-29,declare,Chui Fuk Road,翠福路,Tuen Mun,GN2325
2018-03-29|GN2325|1,landsd,2018-03-29,declare,Fu Fuk Road,富福路,Tuen Mun,GN2325
2018-05-04|GN3295|0,landsd,2018-05-04,declare,Shung Shan Street,崇山街,Kwun Tong,GN3295
2018-06-01|GN4004|1,landsd,2018-06-01,,Wui Man Road,匯民道,Yau Tsim Mong,GN4004
2018-10-05|GN7463|1,landsd,2018-10-05,,Nga Cheung Road,雅翔道,Yau Tsim Mong,GN7463
2018-12-14|GN9290|0,landsd,2018-12-14,,Lai Po Road,荔寶路,Sham Shui Po,GN9290
2019-02-01|GN1094|0,landsd,2019-02-01,declare,Heung Yuen Wai Highway,香園圍公路,North - Tai Po,GN1094
2019-02-01|GN1095|0,landsd,2019-02-01,declare,Yi Tung Road,怡東路,Islands(Lantau),GN1095
2019-03-01|GN1656|0,landsd,2019-03-01,declare,Hung Hom Bypass,紅磡繞道,Kowloon City-Yau Tsim Mong,GN1656
2019-03-01|GN1657|0,landsd,2019-03-01,declare,Ching Lai Road,澄麗路,Tuen Mun,GN1657
2019-03-15|GN1970|0,landsd,2019-03-15,declare,Lung Hop Street,龍合街,Wan Chai,GN1970
2019-03-29|GN2321|3,landsd,2019-03-29,,Fleming Road,菲林明道,Wan Chai,GN2321
2019-04-26|GN2869|0,landsd,2019-04-26,declare,Yiu Sha Road,耀沙路,Sha Tin,GN2869
2019-04-26|GN2870|0,landsd,2019-04-26,declare,Tung Lei Path,東籬徑,Tuen Mun,GN2870
2019-04-26|GN2871|0,landsd,2019-04-26,declare,Hung Leng North Road,孔嶺北路,North,GN2871
2019-05-31|GN3588|0,landsd,2019-05-31,declare,Museum Drive,博物館道,Yau Tsim Mong,GN3588
2019-07-26|GN4779|0,landsd,2019-07-26,declare,Tung Yiu Road,東耀路,Islands (Lantau),GN4779
2019-09-27|GN6068|0,landsd,2019-09-27,declare,Hung Pak Road,洪柏路,Yuen Long,GN6068
2019-10-25|GN6636|0,landsd,2019-10-25,declare,Hoi Sha Path,海沙徑,Islands (Lantau),GN6636
2020-04-03|GN1669|0,egazette_pdf,2020-04-03,declare,,米埔南路,,GN1669
2020-04-03|GN1669|1,egazette_pdf,2020-04-03,declare,,清攸徑,,GN1669
2020-04-03|GN1669|2,egazette_pdf,2020-04-03,declare,,江埔路,,GN1669
2020-04-03|GN1669|3,egazette_pdf,2020-04-03,declare,,高上路,,GN1669
2020-04-03|GN1669|4,egazette_pdf,2020-04-03,declare,,梁盛路,,GN1669
2020-04-03|GN1669|5,egazette_pdf,2020-04-03,declare,,石上路,,GN1669
2020-05-22|GN2656|0,landsd,2020-05-22,declare,Shek Po East Road,石埗東路,Yuen Long,GN2656
2020-06-12|GN3236|0,landsd,2020-06-12,declare,Ho Chung North Road,蠔涌北路,Sai Kung,GN3236
2020-08-07|GN4507|0,egazette_pdf,2020-08-07,declare,Tung Cheong Street,東昌街,,GN4507
2020-08-07|GN4508|0,landsd,2020-08-07,declare,Lai Chui Path,麗翠徑,Kwun Tong,GN4508
2020-10-16|GN5983|0,egazette_pdf,2020-10-16,declare,Gascoigne Road Fylover,加士居道天橋,,GN5983
2020-10-23|GN6116|0,landsd,2020-10-23,declare,Yan Po Road,欣寶路,Tuen Mun,GN6116
2020-10-23|GN6118|0,egazette_pdf,2020-10-23,,Gascoigne Road Flyover,,,GN6118
2020-11-06|GN6474|0,egazette_pdf,2020-11-06,declare,,屯門赤鱲角隧道公路,,GN6474
2020-11-06|GN6474|1,egazette_pdf,2020-11-06,declare,,浩和街,,GN6474
2020-11-06|GN6474|2,egazette_pdf,2020-11-06,declare,,浩逸街,,GN6474
2020-11-20|GN6775|0,egazette_pdf,2020-11-20,declare,Kwun Tong Bypass,觀塘繞道,,GN6775
2020-12-31|GN7695|0,landsd,2020-12-31,declare,Tsing Tin Interchange,青田交匯處,Tuen Mun,GN7695
2021-02-05|GN708|0,egazette_pdf,2021-02-05,declare,,尾逢路,,GN708
2021-02-05|GN708|1,egazette_pdf,2021-02-05,declare,,水尾路,,GN708
2021-02-26|GN1088|0,landsd,2021-02-26,declare,Lung Chun Road,龍峻路,North,GN1088
2021-04-30|GN2547|0,landsd,2021-04-30,declare,Ocean Drive,海洋徑,Southern,GN2547
2021-05-28|GN3262|0,egazette_pdf,2021-05-28,declare,,安愉道,,GN3262
2021-05-28|GN3262|1,egazette_pdf,2021-05-28,declare,,安愉徑,,GN3262
2021-05-28|GN3262|2,egazette_pdf,2021-05-28,declare,,安健道,,GN3262
2021-05-28|GN3262|3,egazette_pdf,2021-05-28,declare,,安禧街,,GN3262
2021-06-11|GN3565|0,landsd,2021-06-11,declare,Discovery Peak Road,愉峰道,Islands (Lantau),GN3565
2021-06-25|GN3897|0,egazette_pdf,2021-06-25,declare,,啟德橋道,,GN3897
2021-06-25|GN3897|1,egazette_pdf,2021-06-25,declare,,承富里,,GN3897
2021-06-25|GN3897|2,egazette_pdf,2021-06-25,declare,,承裕里,,GN3897
2021-06-25|GN3897|3,egazette_pdf,2021-06-25,declare,,承景街,,GN3897
2021-07-23|GN4522|0,landsd,2021-07-23,declare,Muk Lai Street,沐禮街,Kowloon City,GN4522
2021-07-30|GN4715|0,landsd,2021-07-30,declare,Ping Shek Lane,坪石里,Kwun Tong,GN4715
2021-09-24|GN6003|0,egazette_pdf,2021-09-24,declare,Fi R S T Sky Street,航天城第一街,,GN6003
2021-09-24|GN6003|1,egazette_pdf,2021-09-24,declare,S E Cond Sky Street,航天城第二街,,GN6003
2021-09-24|GN6003|2,egazette_pdf,2021-09-24,declare,T Hi R D Sky Street,航天城第三街,,GN6003
2021-09-30|GN6129|0,landsd,2021-09-30,declare,Choi Tip Street,彩蝶街,Tai Po,GN6129
2021-10-22|GN6649|0,landsd,2021-10-22,declare,On Pik Road,安碧道,Sai Kung - Kwun Tong,GN6649
2021-11-26|GN7441|0,landsd,2021-11-26,declare,Ko Ling Road,高嶺道,Kwun Tong,GN7441
2021-12-03|GN7633|0,egazette_pdf,2021-12-03,declare,T U E N Lok L A N E,屯樂里,,GN7633
2022-08-19|GN4534|0,landsd,2022-08-19,declare,Ko Nga Lane,高雅里,Kwun Tong,GN4534
2022-09-02|GN4919|0,landsd,2022-09-02,declare,Hoi Tat Street,海達街,Sham Shui Po,GN4919
2022-10-07|GN5717|0,egazette_pdf,2022-10-07,declare,T In Wo R O A D,田禾路,,GN5717
2022-10-21|GN6005|0,egazette_pdf,2022-10-21,declare,Chi Li T P At H,誌烈徑,,GN6005
2022-11-25|GN6835|0,egazette_pdf,2022-11-25,declare,L Am T In In Ter Ch A Ng E,藍田交匯處,,GN6835
2022-11-25|GN6835|1,egazette_pdf,2022-11-25,declare,T S E Ung L Am Highw A Y,將藍公路,,GN6835
2022-12-09|GN7138|0,egazette_pdf,2022-12-09,declare,Hoi Shin L A N E,海善里,,GN7138
2022-12-30|GN7562|0,egazette_pdf,2022-12-30,declare,,柏壽路,,GN7562
2022-12-30|GN7562|1,egazette_pdf,2022-12-30,declare,,鄉梓路,,GN7562
2023-02-03|GN839|0,egazette_pdf,2023-02-03,declare,Hoi Ying R O A D,海映路,,GN839
2023-02-17|GN1075|0,egazette_pdf,2023-02-17,declare,,香蓮路,,GN1075
2023-02-17|GN1075|1,egazette_pdf,2023-02-17,declare,,蓮竹路,,GN1075
2023-04-28|GN2593|0,landsd,2023-04-28,declare,Muk Wo Street,沐和街,Kowloon City,GN2593
2023-05-12|GN2908|0,egazette_pdf,2023-05-12,declare,Shing Y A Us Treet,承佑街,,GN2908
2023-05-19|GN3075|0,egazette_pdf,2023-05-19,declare,M Oon T In L A N E,滿田里,,GN3075
2023-06-09|GN3522|0,egazette_pdf,2023-06-09,declare,Kwun Sh A P At H,觀沙徑,,GN3522
2023-06-23|GN3740|0,egazette_pdf,2023-06-23,declare,Lung Tat P At H,龍達徑,,GN3740
2023-07-28|GN4517|0,landsd,2023-07-28,declare,Chi Tin Street,智田街,Kwun Tong,GN4517
2023-12-08|GN7465|0,landsd,2023-12-08,declare,Kam Yee Road,錦義路,Yuen Long,GN7465
2024-03-01|GN1176|0,egazette_pdf,2024-03-01,declare,Ma Ta K R O A D,馬得路,,GN1176
2024-03-01|GN1176|1,egazette_pdf,2024-03-01,declare,Ma Fuk R O A D,馬福路,,GN1176
2024-03-01|GN1176|2,egazette_pdf,2024-03-01,declare,Wo Lok L A N E,和樂里,,GN1176
2024-03-08|GN1335|0,egazette_pdf,2024-03-08,declare,Lung T Ing L A N E,龍庭里,,GN1335
2024-04-26|GN2409|0,landsd,2024-04-26,declare,Toscana Drive,意濤徑,Islands (Lantau),GN2409
2024-05-10|GN2696|0,landsd,2024-05-10,declare,Fung Ying Path,豐盈徑,North,GN2696
2024-06-14|GN3412|0,landsd,2024-06-14,declare,Chui Kwan Drive,翠群徑,Islands (Lantau),GN3412
2024-06-21|GN3555|0,egazette_pdf,2024-06-21,declare,Y A U M Ong L A N E,油旺里,,GN3555
2024-08-16|GN4837|0,landsd,2024-08-16,declare,Chui Kwan Drive,翠群徑,Islands (Lantau),GN4837
2024-08-23|GN4962|0,egazette_pdf,2024-08-23,declare,T Sz Lun R O A D,紫麟路,,GN4962
2024-09-06|GN5323|0,egazette_pdf,2024-09-06,declare,Wui T Ung Street,匯東街,,GN5323
2024-09-06|GN5324|0,landsd,2024-09-06,,Ying Tung Road,迎東路,Islands (Lantau),GN5324
2024-09-13|GN5451|0,egazette_pdf,2024-09-13,declare,Shing Fung L A N E,承豐里,,GN5451
2024-10-18|GN6215|0,landsd,2024-10-18,declare,Yuk Tong Path,沃塘徑,North,GN6215
2024-12-06|GN7369|0,landsd,2024-12-06,declare,Shing Yan Lane,承恩里,Kowloon City,GN7369
2025-01-24|GN565|0,landsd,2025-01-24,declare,Long Fung Street,朗風街,Yuen Long,GN565
2025-02-28|GN1271|0,egazette_pdf,2025-02-28,declare,Innov At Ion A Nd Te Chnology P Ar K R O A D,創科園路,,GN1271
2025-02-28|GN1271|1,egazette_pdf,2025-02-28,declare,Re S Ear Ch R O A D,研發路,,GN1271
2025-07-25|GN4611|0,egazette_pdf,2025-07-25,declare,,貴東路,,GN4611
2025-07-25|GN4611|1,egazette_pdf,2025-07-25,declare,,朗東路,,GN4611
2025-07-25|GN4611|2,egazette_pdf,2025-07-25,declare,,曉東路,,GN4611
2025-07-25|GN4611|3,egazette_pdf,2025-07-25,declare,,錦東街,,GN4611
2025-07-25|GN4611|4,egazette_pdf,2025-07-25,declare,,兆東街,,GN4611
2025-07-25|GN4611|5,egazette_pdf,2025-07-25,declare,,孝東街,,GN4611
2025-07-25|GN4611|6,egazette_pdf,2025-07-25,declare,,彩東里,,GN4611
2025-07-25|GN4611|7,egazette_pdf,2025-07-25,declare,,善東里,,GN4611
2025-07-25|GN4611|8,egazette_pdf,2025-07-25,declare,,仁東里,,GN4611
2025-10-10|GN6447|0,landsd,2025-10-10,declare,Choi Lung Street,彩隆街,North,GN6447
2025-11-21|GN7381|0,egazette_pdf,2025-11-21,declare,,啟德交匯處,,GN7381
2025-11-21|GN7381|1,landsd,2025-11-21,declare,Kai Tak Interchange,啟德交匯處,Kowloon City - Kwun Tong,GN7381
2026-01-16|GN377|0,egazette_pdf,2026-01-16,declare,,古洞北路,,GN377
2026-01-16|GN377|1,egazette_pdf,2026-01-16,declare,,古雋街,,GN377
2026-02-13|GN995|0,landsd,2026-02-13,declare,Sheung Yip Street,尚業街,Kwun Tong,GN995
2026-03-27|GN1839|0,egazette_pdf,2026-03-27,declare,F A Nling Bypass,粉嶺繞道,,GN1839
2026-03-27|GN1839|1,egazette_pdf,2026-03-27,declare,Sh E Ung Ho R O A D,上河路,,GN1839
2026-03-27|GN1839|2,egazette_pdf,2026-03-27,declare,Fung L Am R O A D,鳳林路,,GN1839
2026-03-27|GN1839|3,egazette_pdf,2026-03-27,declare,Fung Ling R O A D,鳳嶺路,,GN1839
2026-04-24|GN2370|0,landsd,2026-04-24,declare,Ping Yip Street,屏業街,Yuen Long,GN2370
crowd|1904-gn59-victoria-road-renames-park-view-richmond-terrace-former,hkgro,,declare,Richmond Terrace,,,GN59
