event_id,source,publication_date,change_kind,street_name_en,street_name_zh,district_raw_en,notice_no
crowd|1975-gn1693-tuen-mun-streets-Kai-Man-Street-啟民街-1975-08-01,crowdsubmitted,1975-08-01,declare,Kai Man Street,啟民街,,GN1693
crowd|1975-gn1693-tuen-mun-streets-Ming-Oi-Street-明愛街-1975-08-01,crowdsubmitted,1975-08-01,declare,Ming Oi Street,明愛街,,GN1693
crowd|1975-gn1693-tuen-mun-streets-Yan-Ching-Circuit-仁政街-1975-08-01,crowdsubmitted,1975-08-01,declare,Yan Ching Circuit,仁政街,,GN1693
crowd|1975-gn2327-gazetteer-harmonization-Main-Street-Ap-Lei-Chau-1975-10-24,crowdsubmitted,1975-10-24,rename,"Main Street, Ap Lei Chau",,,GN2327
crowd|1975-gn2327-gazetteer-harmonization-Tong-Mei-Road-1975-10-24,crowdsubmitted,1975-10-24,rename,Tong Mei Road,,,GN2327
crowd|1976-gn2462-sai-kung-streets-Sai-Kung-Wing-Wo-Street-西貢永和街-1976-11-05,crowdsubmitted,1976-11-05,declare,Sai Kung Wing Wo Street,西貢永和街,,GN2462
crowd|1976-gn2874-kowloon-bay-streets-Foo-Yip-Street-富業街-1976-12-24,crowdsubmitted,1976-12-24,delete,Foo Yip Street,富業街,,GN2874
crowd|1977-gn1311-sai-kung-roads-Sai-Kung-Wing-Lung-Road-西貢永隆道-1977-06-10,hkgro,1977-06-10,declare,Sai Kung Wing Lung Road,西貢永隆道,,GN1311
crowd|1977-gn2858-hang-hau-main-street-Hang-Hau-Main-Street-坑口正街-1977-11-25,hkgro,1977-11-25,declare,Hang Hau Main Street,坑口正街,,GN2858
crowd|1978-gn933-tsim-sha-tsui-streets-Ching-Hay-Street-正氣街-1978-04-14,crowdsubmitted,1978-04-14,declare,Ching Hay Street,正氣街,,GN933
crowd|1978-gn933-tsim-sha-tsui-streets-Hing-Cheung-Road-興祥道-1978-04-14,crowdsubmitted,1978-04-14,declare,Hing Cheung Road,興祥道,,GN933
crowd|1978-gn933-tsim-sha-tsui-streets-Ming-Kwong-Road-明光道-1978-04-14,crowdsubmitted,1978-04-14,declare,Ming Kwong Road,明光道,,GN933
crowd|1979-gn1001-clear-water-bay-streets-Shun-Cheung-Road-順祥道-1979-04-20,crowdsubmitted,1979-04-20,declare,Shun Cheung Road,順祥道,,GN1001
crowd|1979-gn1001-clear-water-bay-streets-Shun-Woo-Street-順和街-1979-04-20,crowdsubmitted,1979-04-20,declare,Shun Woo Street,順和街,,GN1001
