road_key,street_code,english_name,chinese_name,street_type,naming_year,naming_date,government_notice_url_en,government_notice_url_zh,segment_count
code:12826,12826,YAT SIN STREET,日善街,Secondary Road,1979,1979-12-07,/egazette/en/1979-gn3194.pdf,,3
code:13589,13589,YAU CHUEN STREET,友全街,Secondary Road,,,,,3
code:12829,12829,YAU LUNG PATH,游龍徑,Secondary Road,1983,1983-05-27,/egazette/en/1983-gn1665.pdf,/egazette/zh/1983-gn1665.pdf,3
code:12845,12845,YEE KUK WEST STREET,醫局西街,Secondary Road,,,/egazette/en/1976-gn1302.pdf,,3
code:12848,12848,YEE SHING STREET,怡盛街,Secondary Road,1981,1981-07-31,/egazette/en/1981-gn2267.pdf,/egazette/zh/1981-gn2267.pdf,3
code:12849,12849,YEE SHUN STREET,怡順街,Secondary Road,1981,1981-07-31,/egazette/en/1981-gn2267.pdf,/egazette/zh/1981-gn2267.pdf,3
code:12857,12857,YI CHUN STREET,宜春街,Secondary Road,,,,,3
code:12960,12960,YI HONG STREET,怡康街,Secondary Road,,,,,3
code:13623,13623,YI NAM ROAD,怡南路,Secondary Road,,,,,3
code:12859,12859,YI PEI CHUN ROAD,二陂圳路,Secondary Road,,,,,3
code:12875,12875,YIP CHEONG STREET,業暢街,Secondary Road,,,,,3
code:12877,12877,YIP FUNG STREET,業豐街,Secondary Road,,,,,3
code:12881,12881,YIP WO STREET,業和街,Secondary Road,,,,,3
code:12884,12884,YIU WAI STREET,窰圍街,Secondary Road,1983,1983-07-01,/egazette/en/1983-gn2023.pdf,/egazette/zh/1983-gn2023.pdf,3
code:12889,12889,YU CHAU WEST STREET,汝州西街,Secondary Road,,,/egazette/en/1976-gn1302.pdf,,3
code:12894,12894,YU ON STREET,漁安街,Secondary Road,1987,1987-07-03,/egazette/en/2010-14-5-736.pdf,/egazette/zh/2010-14-5-736.pdf,3
code:13682,13682,YU TAI ROAD,裕泰路,Secondary Road,,,,,3
code:12897,12897,YU WING PATH,裕榮徑,Track,1983,1983-06-03,/egazette/en/1983-gn1752.pdf,/egazette/zh/1983-gn1752.pdf,3
code:12902,12902,YUE KING STREET,愉景街,Track,,,,,3
code:12904,12904,YUE KWONG ROAD,漁光道,Secondary Road,,,,,3
code:12906,12906,YUE MAN SQUARE,裕民坊,Secondary Road,1957,1957-02-22,/egazette/en/1957-gn264.pdf,/egazette/zh/1957-gn264.pdf,3
code:12914,12914,YUEN LONG HONG LOK ROAD,元朗康樂路,Secondary Road,1977,1977-12-02,/egazette/en/1977-gn2944.pdf,/egazette/zh/1977-gn2944.pdf,3
code:12935,12935,YUK CHOI ROAD,育才道,Secondary Road,,,,,3
code:13614,13614,YUK NGA LANE,毓雅里,Secondary Road,,,,,3
code:12944,12944,YUK YAT STREET,旭日街,Secondary Road,,,,,3
code:40900,40900,,,Secondary Road,,,,,2
code:48892,48892,,,Secondary Road,,,,,2
code:44262,44262,,,Secondary Road,,,,,2
code:44094,44094,,,Secondary Road,,,,,2
code:40517,40517,,,Secondary Road,,,,,2
code:42271,42271,,,Secondary Road,,,,,2
code:49691,49691,,,Secondary Road,,,,,2
code:41771,41771,,,Secondary Road,,,,,2
code:41786,41786,,,Secondary Road,,,,,2
code:42858,42858,,,Secondary Road,,,,,2
code:49809,49809,,,Secondary Road,,,,,2
code:40653,40653,,,Secondary Road,,,,,2
code:40725,40725,,,Secondary Road,,,,,2
code:44154,44154,,,Secondary Road,,,,,2
code:42797,42797,,,Secondary Road,,,,,2
code:41512,41512,,,Secondary Road,,,,,2
code:40925,40925,,,Highway,,,,,2
code:49015,49015,,,Secondary Road,,,,,2
code:51206,51206,,,Secondary Road,,,,,2
code:45254,45254,,,Secondary Road,,,,,2
code:46007,46007,,,Secondary Road,,,,,2
code:44174,44174,,,Secondary Road,,,,,2
code:40780,40780,,,Highway,,,,,2
code:41591,41591,,,Secondary Road,,,,,2
code:48550,48550,,,Secondary Road,,,,,2
code:44081,44081,,,Secondary Road,,,,,2
code:43899,43899,,,Secondary Road,,,,,2
code:40255,40255,,,Secondary Road,,,,,2
code:46932,46932,,,Secondary Road,,,,,2
code:40505,40505,,,Restricted Road,,,,,2
code:41623,41623,,,Secondary Road,,,,,2
code:44056,44056,,,Secondary Road,,,,,2
code:41305,41305,,,Secondary Road,,,,,2
code:46164,46164,,,Secondary Road,,,,,2
code:41148,41148,,,Secondary Road,,,,,2
code:42277,42277,,,Secondary Road,,,,,2
code:44291,44291,,,Secondary Road,,,,,2
code:41317,41317,,,Secondary Road,,,,,2
code:40581,40581,,,Secondary Road,,,,,2
code:40822,40822,,,Secondary Road,,,,,2
code:43787,43787,,,Secondary Road,,,,,2
code:42153,42153,,,Secondary Road,,,,,2
code:41726,41726,,,Secondary Road,,,,,2
code:44633,44633,,,Secondary Road,,,,,2
code:42904,42904,,,Secondary Road,,,,,2
code:43772,43772,,,Secondary Road,,,,,2
code:40521,40521,,,Secondary Road,,,,,2
